Month,2YO_mean,2YO_median,2YO_min,2YO_max,2YO_mean_no_extremes,2YO_median_no_extremes,2YO_mean_no_outliers,2YO_median_no_outliers,3YO_mean,3YO_median,3YO_min,3YO_max,3YO_mean_no_extremes,3YO_median_no_extremes,3YO_mean_no_outliers,3YO_median_no_outliers,4YO_mean,4YO_median,4YO_min,4YO_max,4YO_mean_no_extremes,4YO_median_no_extremes,4YO_mean_no_outliers,4YO_median_no_outliers,5YO_mean,5YO_median,5YO_min,5YO_max,5YO_mean_no_extremes,5YO_median_no_extremes,5YO_mean_no_outliers,5YO_median_no_outliers
2018-02,92430.02135763552,92547.537458534,86297.8685138665,100335.50650963395,92311.79920375356,92547.537458534,92430.02135763552,92547.537458534,79496.37381563649,79663.25649343865,76396.84833030359,82869.83113047217,79476.80725638628,79663.25649343865,79496.3738156365,79663.25649343865,84644.06106808365,88541.26990274509,63223.5180963039,101230.6316305052,84912.61509082577,88541.26990274509,84644.06106808365,88541.26990274509,47559.29946752704,47141.631222281256,46234.26873129094,50144.83988054133,47444.70767872903,47141.631222281256,47559.29946752704,47141.631222281256
2018-03,103325.92714485743,103294.17565250947,100353.5802368354,105877.81495595514,103360.96540293445,103294.17565250947,103325.92714485743,103294.17565250947,80549.90062654068,80592.97994576089,75200.5131192639,83340.56098763781,80700.41398808065,80592.97994576089,80847.08882138939,80670.50640471655,93789.13365137491,102553.30345164382,64674.87792893988,105907.14368600474,95003.15120050388,102553.30345164382,93789.13365137491,102553.30345164382,46690.28668644663,46533.48646490516,46283.72265232436,47805.50937916667,46619.42082058685,46533.48646490516,46588.90280529026,46530.02063095087
2018-04,98522.59073057267,98192.64022831336,97722.949242666,100042.15601428752,98378.60597141105,98192.64022831336,98522.59073057267,98192.64022831336,77869.24057304233,77919.59390342775,74974.45250057513,81477.57859234487,77804.3723960573,77919.59390342775,77869.24057304233,77919.59390342775,83783.86928589389,97738.22975748172,63502.94239507966,100109.58491961595,84113.4702239849,97738.22975748172,83783.86928589389,97738.22975748172,47665.054084581934,47729.219168086245,46399.59546694192,48684.08030014052,47692.435462590984,47729.219168086245,47665.054084581934,47729.219168086245
2018-05,97179.33299630566,97281.86814564542,96607.15478408,97497.93133900806,97242.72796368646,97281.86814564542,97179.33299630566,97281.86814564542,77752.71020611835,77798.96791666042,74964.53355070848,81542.63521533798,77685.92698253105,77798.96791666042,77752.71020611835,77798.96791666042,78678.61372341208,73349.88528990817,64770.19124339546,97481.24789851444,78189.19255390351,73349.88528990817,78678.61372341208,73349.88528990817,48492.18713870882,48560.85034194888,47831.32898945446,49241.07971116668,48484.18400932669,48560.85034194888,48492.187138708825,48560.85034194888
2018-06,94235.82102322705,94360.84868904407,92190.63450432676,96071.91426281456,94270.66990311252,94360.84868904407,94235.82102322705,94360.84868904407,80147.07486539049,80236.92271431103,78285.9256792831,81894.55403278416,80155.81871298385,80236.92271431103,80147.0748653905,80236.92271431103,80281.57994118829,91855.05551061605,63642.57383265393,96036.67049477177,80361.93590072928,91855.05551061605,80281.5799411883,91855.05551061605,48954.23968024774,48896.946022929726,48139.44867123029,49786.48100848068,48952.49464832619,48896.946022929726,48954.23968024774,48896.946022929726
2018-07,90441.56746551568,90417.13794131714,89424.13920202252,91468.53594460811,90439.18241161587,90417.13794131714,90441.56746551569,90417.13794131714,79527.50183764477,79572.33037932555,77227.39930729808,82092.73680084059,79500.98859435986,79572.33037932555,79294.29865917243,79566.22334626716,77950.8726511582,89429.30312408003,62419.443948436165,91533.60136253329,78167.39487241898,89429.30312408003,77950.87265115819,89429.30312408003,49949.92566512523,49979.6780219199,49240.06431159489,50409.84740352639,49981.16811701637,49979.6780219199,50028.79914885081,49979.6780219199
2018-08,85403.06406627514,85259.43606260527,82557.91037695727,88934.37346937638,85334.44849489679,85259.43606260527,85403.06406627514,85259.43606260527,80631.00687294819,80504.24024104277,78412.07541428877,82635.38431779356,80647.51102785696,80504.24024104277,80631.00687294819,80504.24024104277,76367.74281372572,82844.65701044162,62047.70839538959,89132.37760577071,76487.38893882504,82844.65701044162,76367.74281372571,82844.65701044162,50740.32547689083,50686.97788728177,49990.74707064584,51932.421998071804,50691.15679745349,50686.97788728177,50740.32547689083,50686.97788728177
2018-09,95830.04337513982,96052.033162893,84299.3542379574,106586.00383346484,95870.8185687639,96052.033162893,95830.04337513984,96052.033162893,79455.42585076479,79461.627263309,78396.69336362142,80906.24976808732,79411.86013630043,79461.627263309,79455.42585076479,79461.627263309,88751.17425923662,91402.97760685017,62172.54266713228,106372.58323809452,89158.3207416569,91402.97760685017,89906.7669371542,91490.22441724985,50229.48810719407,50608.34967569614,47506.00189982855,51798.69169588474,50334.42289070997,50608.34967569614,50456.4452911412,50649.732823773855
2018-10,100377.37501664195,100154.76923761956,95626.00959314476,106715.53221174184,100264.03274724176,100154.76923761956,100377.37501664195,100154.76923761956,77364.59003170792,77360.27581669734,74451.21809809346,79542.15898877874,77425.9069464199,77360.27581669734,77364.59003170792,77360.27581669734,90384.52364659813,98892.62062138575,61294.52474163986,106758.90915702526,91090.94661296098,98892.62062138575,90384.52364659813,98892.62062138575,50457.3123948039,50299.155118086215,47700.705233771325,52846.788287853706,50483.536056802666,50299.155118086215,50457.3123948039,50299.155118086215
2018-11,126085.25196956607,126085.25196956607,125900.26205585722,126270.24188327492,,,126085.25196956607,126085.25196956607,79548.42076726934,79216.72539006908,74976.35730730211,93826.8383962688,78801.77813888225,79216.72539006908,78528.53379376938,78827.1563696307,75887.08651525782,61672.28315943437,61225.09359090589,126263.86292073324,70784.97458938303,61672.28315943437,75887.08651525782,61672.28315943437,51434.18880500597,49140.86215521003,47735.08248496034,61345.95850433025,50657.60588259614,49140.86215521003,51434.18880500598,49140.86215521003
