Date,4YO,5YO,Source_File,3YO,2YO,Quarter,Month,2YO_no_outliers,3YO_no_outliers,4YO_no_outliers,5YO_no_outliers
2016-09-01,58000.0,44000.0,12_2019.csv,,,2016Q3,2016-09,,,58000.0,44000.0
2016-09-01,57000.0,41000.0,02_2019.csv,,,2016Q3,2016-09,,,57000.0,41000.0
2016-09-01,59000.0,42000.0,01_2020.csv,,,2016Q3,2016-09,,,59000.0,42000.0
2016-09-01,58000.0,48000.0,08_2020.csv,,,2016Q3,2016-09,,,58000.0,48000.0
2016-09-01,,,07_2018.csv,,,2016Q3,2016-09,,,,
2016-10-01,56000.0,43000.0,03_2019.csv,,,2016Q4,2016-10,,,56000.0,43000.0
2016-10-01,56000.0,48000.0,01_2019.csv,,,2016Q4,2016-10,,,56000.0,48000.0
2016-10-01,58000.0,49000.0,03_2018.csv,,,2016Q4,2016-10,,,58000.0,49000.0
2016-10-01,56000.0,44000.0,11_2018.csv,,,2016Q4,2016-10,,,56000.0,44000.0
2016-10-01,57700.0,44000.0,02_2018.csv,,,2016Q4,2016-10,,,57700.0,44000.0
2016-10-01,56000.0,41000.0,02_2019.csv,,,2016Q4,2016-10,,,56000.0,41000.0
2016-10-01,56000.0,45000.0,09_2018.csv,,,2016Q4,2016-10,,,56000.0,45000.0
2016-10-01,56000.0,45000.0,12_2018.csv,,,2016Q4,2016-10,,,56000.0,45000.0
2016-11-01,55000.0,40000.0,04_2020.csv,,,2016Q4,2016-11,,,55000.0,40000.0
2016-11-01,,,07_2018.csv,,,2016Q4,2016-11,,,,
2016-11-01,54000.0,40000.0,12_2018.csv,,,2016Q4,2016-11,,,54000.0,40000.0
2016-11-01,56000.0,43000.0,03_2020.csv,,,2016Q4,2016-11,,,56000.0,43000.0
2016-11-01,55000.0,41000.0,12_2019.csv,,,2016Q4,2016-11,,,55000.0,41000.0
2016-11-01,56000.0,41000.0,05_2019.csv,,,2016Q4,2016-11,,,56000.0,41000.0
2016-11-01,55000.0,41000.0,03_2019.csv,,,2016Q4,2016-11,,,55000.0,41000.0
2016-11-01,57000.0,45000.0,03_2018.csv,,,2016Q4,2016-11,,,57000.0,45000.0
2016-11-01,55000.0,41000.0,11_2018.csv,,,2016Q4,2016-11,,,55000.0,41000.0
2016-11-01,59000.0,46000.0,09_2019.csv,67000.0,82000.0,2016Q4,2016-11,82000.0,67000.0,59000.0,46000.0
2016-11-01,58000.0,42000.0,05_2018.csv,,,2016Q4,2016-11,,,58000.0,42000.0
2016-11-01,54000.0,40000.0,07_2019.csv,,,2016Q4,2016-11,,,54000.0,40000.0
2016-11-01,67000.0,41000.0,07_2020.csv,,,2016Q4,2016-11,,,67000.0,41000.0
2016-11-01,54000.0,54000.0,10_2020.csv,,,2016Q4,2016-11,,,54000.0,54000.0
2016-11-01,55000.0,43000.0,09_2018.csv,,,2016Q4,2016-11,,,55000.0,43000.0
