Date,2YO,3YO,4YO,5YO
2016-05-03,91936.3872830225,,91916.33911503434,50530.3578039224
2016-05-05,,,,50027.28684442927
2016-05-06,,,62412.50140603425,
2016-05-07,,80939.17718965886,91804.70727055488,
2016-05-09,91877.00217936064,,,50326.73672642991
2016-05-10,,,,50391.77367632493
2016-05-12,,,62086.93704245896,49477.05196423385
2016-05-13,,80500.1671630405,92005.32564249085,
2016-05-14,92197.81083718616,,,
2016-05-15,,,,50209.31509695802
2016-05-16,,,,48489.07004069566
2016-05-17,,,,49186.85852956236
2016-05-18,,79622.89629974522,77195.49342863083,47324.40892425341
2016-05-19,92913.77689427948,,,
2016-05-20,,,,48029.076828246645
2016-05-21,,,61231.29528065541,47710.80278718042
2016-05-22,,78733.18197846606,,
2016-05-23,,,93626.04605262712,
2016-05-24,93865.11217151886,78408.20247274562,,46575.510064074064
2016-05-27,,76919.18913334311,,44212.21509522507
2016-05-28,,78146.99408200102,94634.06711063464,45891.56621756003
2016-05-29,94754.83246966243,,,
2016-05-30,,77038.47214697942,61433.63634170331,
2016-05-31,,75858.15202024055,,45337.1546356559
2016-06-02,,,78033.5312679199,43617.608571192875
2016-06-03,95331.6660358642,,,
2016-06-04,,76159.63716180947,,
2016-06-05,,75219.41344988687,,
2016-06-06,,,,43416.82112050304
2016-06-07,,,78053.21895490463,42676.98604007905
2016-06-09,95303.26446454764,75023.9830486965,,
2016-06-11,,,94986.63450680816,
2016-06-12,,,,42517.65319223146
2016-06-13,94859.16716759802,,60402.73078979501,42954.13739402895
2016-06-14,,74774.32704847193,,
2016-06-15,,74674.42183290381,,
2016-06-16,93806.72012979117,,93887.70433052068,
2016-06-17,,,,42771.81498100169
2016-06-18,92620.73605369985,,,
2016-06-19,93594.0062634973,,76079.64936505718,43685.22370949401
2016-06-20,,74467.48445257478,93268.6791738714,
2016-06-21,92834.90972103688,74483.89630826747,,
2016-06-22,91412.24919418075,,59205.83805047651,43347.23727077752
2016-06-23,,,91553.48246245488,
2016-06-24,,74445.58743692687,,
2016-06-25,90804.19737190379,,,44544.80398343474
2016-06-27,,74364.26400210046,90060.14075243601,44045.70467380763
2016-06-28,90340.73536723832,,58776.61759115454,
2016-06-29,88887.0913080369,,,
2016-06-30,,74074.38088594348,89690.08118798654,
2016-07-01,89039.42700873474,,88236.95352099085,45260.38240735963
2016-07-03,87948.22572894789,74249.06252208777,,44775.22602630209
2016-07-04,,,58727.87850345689,
2016-07-05,,74074.38088594348,,
2016-07-06,,,87331.45978819879,
2016-07-07,87370.18920363045,,,45803.15861126551
2016-07-08,,,,45302.65024736227
2016-07-09,86719.53502437865,74244.63169593345,,
2016-07-10,,74074.38088594348,58878.52659270422,
2016-07-11,,,86937.12392198556,
2016-07-13,,,,46174.037986332885
2016-07-14,87146.61485091134,,,
2016-07-15,,74241.47657479363,,
2016-07-16,,,73398.53350779548,
2016-07-18,,,,46383.30449249214
2016-07-19,87900.7821950441,,,46890.92643215443
2016-07-20,,74158.72494621685,,
2016-07-21,,74559.22035289113,,
2016-07-22,,,73990.67581856402,
2016-07-23,,,,46862.57721145733
2016-07-24,88908.80325305159,,,
2016-07-25,,74488.43354546736,,47452.05891584254
